,messageClicked,messageConverted
count,145941.0,145941.0
mean,0.06423143599125675,0.021529248120815945
std,0.2451655980641553,0.14514091064003173
min,0.0,0.0
25%,0.0,0.0
50%,0.0,0.0
75%,0.0,0.0
max,1.0,1.0
