,messageClicked,messageConverted,customerAge,messageSentAtYear,messageSentAtMonth,messageSentAtDay,messageSentAtHour,messageSentAtMinute,messageSentAtSecond,messageSentAtMicrosecond,customerCreatedToMessageSentDays
count,145941.0,145941.0,123921.0,145941.0,145941.0,145941.0,145941.0,145941.0,145941.0,145941.0,145941.0
mean,0.06423143599125675,0.021529248120815945,43.04185731231995,2021.0,6.408822743437416,16.071645390945655,11.314442137576144,29.52505464537039,29.471813952213566,494216.3134417333,81.4739175420204
std,0.2451655980641553,0.14514091064003173,17.772985164662167,0.0,2.160860050118643,8.911190223248589,2.84641371882384,17.318352597688317,17.28907249077974,290414.8844079105,61.040440451184615
min,0.0,0.0,18.0,2021.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,26.0,2021.0,5.0,9.0,9.0,15.0,15.0,236000.0,31.0
50%,0.0,0.0,44.0,2021.0,7.0,16.0,10.0,30.0,29.0,498000.0,68.0
75%,0.0,0.0,55.0,2021.0,8.0,24.0,13.0,45.0,44.0,749000.0,121.0
max,1.0,1.0,96.0,2021.0,10.0,31.0,19.0,59.0,59.0,999000.0,273.0
